Employee title,Employee code,2012,2022,Number,Percent,"Percent self employed, 2012","Job openings due to growth and replacement needs, 2012-22","Median annual wage, 2012 (1)",Education,Occupation,Training
Occupational health and safety technicians,29-9012,12.6,13.9,1.4,10.9,2.2,4.8,"$47,440",High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous health practitioners and technical workers,29-9090,76.6,91.2,14.5,19,2.2,35.4,"$44,490",— ,— ,— 
Athletic trainers,29-9091,22.9,27.8,4.9,21.2,2.3,11.1,"$42,090",Bachelor's degree,None,None
Genetic counselors,29-9092,2.1,3,0.9,41.2,2.7,1.5,"$56,800",Master's degree,None,None
"Healthcare practitioners and technical workers, all other",29-9099,51.6,60.4,8.8,17.1,2.1,22.8,"$46,180",Bachelor's degree,None,None
Healthcare support occupations,31-0000,4110.2,5266,1155.8,28.1,3,1938.3,"$25,550",— ,— ,— 
"Nursing, psychiatric, and home health aides",31-1000,2491.5,3241.8,750.3,30.1,2,1224.2,"$23,030",— ,— ,— 
Home health aides,31-1011,875.1,1299.3,424.2,48.5,2.2,590.7,"$20,820",Less than high school,None,Short-term on-the-job training
Psychiatric aides,31-1013,82,86.8,4.9,6,1,20.5,"$24,580",High school diploma or equivalent,None,Short-term on-the-job training
Nursing assistants,31-1014,1479.8,1792,312.2,21.1,2.1,593.6,"$24,420",Postsecondary non-degree award,None,None
Orderlies,31-1015,54.6,63.6,9.1,16.6,— ,19.4,"$23,990",High school diploma or equivalent,None,Short-term on-the-job training
Occupational therapy and physical therapist assistants and aides,31-2000,160,225.3,65.3,40.8,0.5,101.9,"$42,120",— ,— ,— 
Occupational therapy assistants and aides,31-2010,38.6,54.6,15.9,41.2,0.8,25.6,"$48,940",— ,— ,— 
Occupational therapy assistants,31-2011,30.3,43.2,12.9,42.6,0.8,20.5,"$53,240",Associate's degree,None,None
Occupational therapy aides,31-2012,8.4,11.4,3,36.2,0.8,5.1,"$26,850",High school diploma or equivalent,None,Short-term on-the-job training
Physical therapist assistants and aides,31-2020,121.4,170.8,49.4,40.7,0.5,76.3,"$39,430",— ,— ,— 
Physical therapist assistants,31-2021,71.4,100.7,29.3,41,0.5,45.1,"$52,160",Associate's degree,None,None
Physical therapist aides,31-2022,50,70.1,20.1,40.1,0.5,31.2,"$23,880",High school diploma or equivalent,None,Short-term on-the-job training
Other healthcare support occupations,31-9000,1458.7,1798.8,340.2,23.3,5,612.2,"$30,620",— ,— ,— 
Massage therapists,31-9011,132.8,162.8,30,22.6,46,44.1,"$35,970",Postsecondary non-degree award,None,None
Miscellaneous healthcare support occupations,31-9090,1325.9,1636,310.2,23.4,0.8,568.2,"$30,430",— ,— ,— 
Dental assistants,31-9091,303.2,377.6,74.4,24.5,— ,137.2,"$34,500",Postsecondary non-degree award,None,None
Medical assistants,31-9092,560.8,723.7,162.9,29,0.1,269.9,"$29,370",Postsecondary non-degree award,None,None
Medical equipment preparers,31-9093,51.6,62,10.4,20.3,1.2,20.3,"$30,820",High school diploma or equivalent,None,Moderate-term on-the-job training
Medical transcriptionists,31-9094,84.1,90.5,6.4,7.6,10.2,22.4,"$34,020",Postsecondary non-degree award,None,None
Pharmacy aides,31-9095,42.9,47.6,4.8,11.1,— ,12.9,"$21,860",High school diploma or equivalent,None,Short-term on-the-job training
Veterinary assistants and laboratory animal caretakers,31-9096,74.6,81.7,7.1,9.5,— ,21.3,"$23,130",High school diploma or equivalent,None,Short-term on-the-job training
Phlebotomists,31-9097,101.3,128.4,27.1,26.7,0.5,46.4,"$29,730",Postsecondary non-degree award,None,None
"Healthcare support workers, all other",31-9099,107.4,124.6,17.2,16,0.9,37.7,"$32,800",High school diploma or equivalent,None,None
Protective service occupations,33-0000,3325.3,3588.3,263,7.9,0.6,1146.8,"$36,620",— ,— ,— 
Supervisors of protective service workers,33-1000,281.9,298.3,16.4,5.8,2.1,105.4,"$63,850",— ,— ,— 
First-line supervisors of law enforcement workers,33-1010,150.4,157.3,6.9,4.6,— ,53.7,"$71,540",— ,— ,— 
First-line supervisors of correctional officers,33-1011,46.7,48.6,1.9,4,— ,18,"$57,840",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
First-line supervisors of police and detectives,33-1012,103.7,108.7,5,4.9,— ,35.7,"$78,270",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
First-line supervisors of fire fighting and prevention workers,33-1021,62.3,66.3,3.9,6.3,— ,30.5,"$68,210",Postsecondary non-degree award,Less than 5 years,Moderate-term on-the-job training
"First-line supervisors of protective service workers, all other",33-1099,69.1,74.7,5.5,8,8.5,21.2,"$45,820",High school diploma or equivalent,Less than 5 years,None
Fire fighting and prevention workers,33-2000,321.1,342.2,21.1,6.6,0.2,109,"$45,590",— ,— ,— 
Firefighters,33-2011,307,327.3,20.3,6.6,0.2,104,"$45,250",Postsecondary non-degree award,None,Long-term on-the-job training
Fire inspectors,33-2020,14.1,14.9,0.8,5.7,— ,5,"$51,880",— ,— ,— 
Fire inspectors and investigators,33-2021,12.2,13,0.8,6.2,— ,4.4,"$53,990",High school diploma or equivalent,5 years or more,Moderate-term on-the-job training
Forest fire inspectors and prevention specialists,33-2022,1.9,1.9,0.1,2.8,— ,0.6,"$35,780",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Law enforcement workers,33-3000,1259.2,1323.6,64.4,5.1,0,425.5,"$49,770",— ,— ,— 
"Bailiffs, correctional officers, and jailers",33-3010,469.5,492.6,23,4.9,— ,147.8,"$38,970",— ,— ,— 
Bailiffs,33-3011,16.8,17.7,0.9,5.3,— ,5.4,"$36,840",High school diploma or equivalent,None,Moderate-term on-the-job training
Correctional officers and jailers,33-3012,452.8,474.9,22.1,4.9,— ,142.4,"$39,040",High school diploma or equivalent,None,Moderate-term on-the-job training
Detectives and criminal investigators,33-3021,115.2,117.5,2.3,2,0.3,27.7,"$74,300",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Fish and game wardens,33-3031,6.6,6.7,0.1,1.2,— ,2,"$48,070",High school diploma or equivalent,None,Short-term on-the-job training
Parking enforcement workers,33-3041,9.7,9.7,0,-0.2,— ,2.8,"$35,690",High school diploma or equivalent,None,Short-term on-the-job training
Police officers,33-3050,658.1,697.1,39,5.9,— ,245.3,"$55,260",— ,— ,— 
Police and sheriff's patrol officers,33-3051,653.8,692.7,38.8,5.9,— ,243.9,"$55,270",High school diploma or equivalent,None,Moderate-term on-the-job training
Transit and railroad police,33-3052,4.3,4.4,0.1,3.4,— ,1.4,"$55,210",High school diploma or equivalent,None,Short-term on-the-job training
Other protective service workers,33-9000,1463,1624.2,161.2,11,0.8,507,"$24,230",— ,— ,— 
Animal control workers,33-9011,14.6,15.7,1.1,7.7,— ,4.5,"$31,680",High school diploma or equivalent,None,Moderate-term on-the-job training
Private detectives and investigators,33-9021,30,33.3,3.3,11.2,20.9,11.8,"$45,740",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Security guards and gaming surveillance officers,33-9030,1083.6,1213.8,130.2,12,0.5,296.3,"$24,020",— ,— ,— 
Gaming surveillance officers and gaming investigators,33-9031,9.3,10,0.6,7,— ,2.1,"$29,610",High school diploma or equivalent,None,Short-term on-the-job training
Security guards,33-9032,1074.3,1203.9,129.6,12.1,0.5,294.2,"$23,970",High school diploma or equivalent,None,Short-term on-the-job training
Miscellaneous protective service workers,33-9090,334.9,361.4,26.5,7.9,— ,194.5,"$23,970",— ,— ,— 
Crossing guards,33-9091,71.4,74.5,3.1,4.3,— ,13.9,"$23,910",High school diploma or equivalent,None,Short-term on-the-job training
"Lifeguards, ski patrol, and other recreational protective service workers",33-9092,130.1,143.4,13.3,10.2,— ,102.3,"$18,950",High school diploma or equivalent,None,Short-term on-the-job training
Transportation security screeners,33-9093,50.8,53.8,3,5.9,— ,14.7,"$36,850",High school diploma or equivalent,None,Short-term on-the-job training
"Protective service workers, all other",33-9099,82.5,89.6,7.1,8.6,— ,63.6,"$30,460",High school diploma or equivalent,None,Short-term on-the-job training
Food preparation and serving related occupations,35-0000,11780.1,12882,1101.8,9.4,0.7,5514.5,"$18,930",— ,— ,— 
Supervisors of food preparation and serving workers,35-1000,963.9,1079.3,115.4,12,3.7,373.5,"$30,120",— ,— ,— 
Chefs and head cooks,35-1011,115.4,121.5,6,5.2,13.5,24.7,"$42,480",High school diploma or equivalent,5 years or more,None
First-line supervisors of food preparation and serving workers,35-1012,848.5,957.8,109.4,12.9,2.3,348.7,"$29,270",High school diploma or equivalent,Less than 5 years,None
Cooks and food preparation workers,35-2000,2956.3,3190.4,234.2,7.9,1,892,"$20,090",— ,— ,— 
Cooks,35-2010,2148.5,2353.7,205.3,9.6,1.1,631.6,"$20,550",— ,— ,— 
"Cooks, fast food",35-2011,516.9,514.4,-2.5,-0.5,1.2,101.9,"$18,410",Less than high school,None,Short-term on-the-job training
"Cooks, institution and cafeteria",35-2012,408.9,462.8,54,13.2,0.7,134.6,"$22,860",Less than high school,None,Short-term on-the-job training
"Cooks, private household",35-2013,7,6.9,-0.1,-0.8,— ,1.4,"$23,470",Postsecondary non-degree award,Less than 5 years,None
"Cooks, restaurant",35-2014,1024.1,1174.2,150.1,14.7,1.2,352.1,"$22,030",Less than high school,Less than 5 years,Moderate-term on-the-job training
"Cooks, short order",35-2015,166.1,166.6,0.5,0.3,1.2,33.3,"$19,730",Less than high school,None,Short-term on-the-job training
"Cooks, all other",35-2019,25.5,28.7,3.2,12.7,1,8.3,"$23,250",Less than high school,None,Moderate-term on-the-job training
Food preparation workers,35-2021,807.8,836.7,28.9,3.6,0.8,260.5,"$19,300",Less than high school,None,Short-term on-the-job training
Food and beverage serving workers,35-3000,6563.1,7228.7,665.6,10.1,0.2,3480.3,"$18,460",— ,— ,— 
Bartenders,35-3011,551.1,616.7,65.6,11.9,1.2,269.4,"$18,900",Less than high school,None,Short-term on-the-job training
Fast food and counter workers,35-3020,3408.5,3828.1,419.7,12.3,0.1,1823.5,"$18,300",— ,— ,— 
"Combined food preparation and serving workers, including fast food",35-3021,2969.3,3391.2,421.9,14.2,0,1555.7,"$18,260",Less than high school,None,Short-term on-the-job training
"Counter attendants, cafeteria, food concession, and coffee shop",35-3022,439.2,436.9,-2.3,-0.5,0.4,267.8,"$18,560",Less than high school,None,Short-term on-the-job training
Waiters and waitresses,35-3031,2362.2,2494,131.8,5.6,0.2,1268.3,"$18,540",Less than high school,None,Short-term on-the-job training
"Food servers, nonrestaurant",35-3041,241.3,289.9,48.6,20.1,0.2,119.1,"$19,640",Less than high school,None,Short-term on-the-job training
Other food preparation and serving related workers,35-9000,1296.9,1383.5,86.7,6.7,0.1,768.8,"$18,530",— ,— ,— 
Dining room and cafeteria attendants and bartender helpers,35-9011,403.2,435.4,32.1,8,0,208.9,"$18,500",Less than high school,None,Short-term on-the-job training
Dishwashers,35-9021,508.5,540.2,31.7,6.2,— ,255.5,"$18,460",Less than high school,None,Short-term on-the-job training
"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,347.3,366.4,19.1,5.5,0.4,280.4,"$18,580",Less than high school,None,None
"Food preparation and serving related workers, all other",35-9099,37.8,41.5,3.7,9.8,— ,24,"$20,300",Less than high school,None,Short-term on-the-job training
Building and grounds cleaning and maintenance occupations,37-0000,5522.3,6213.3,691,12.5,13,1825.5,"$22,690",— ,— ,— 
Supervisors of building and grounds cleaning and maintenance workers,37-1000,456.8,515.2,58.3,12.8,38.8,141.5,"$37,610",— ,— ,— 
First-line supervisors of housekeeping and janitorial workers,37-1011,249.5,281.6,32,12.8,28.4,91.6,"$35,310",High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,207.3,233.6,26.3,12.7,51.4,49.9,"$42,160",High school diploma or equivalent,Less than 5 years,None
Building cleaning and pest control workers,37-2000,3838.4,4316.8,478.4,12.5,6.9,1220.5,"$21,570",— ,— ,— 
Building cleaning workers,37-2010,3773.1,4238.6,465.6,12.3,6.9,1189.9,"$21,440",— ,— ,— 
"Janitors and cleaners, except maids and housekeeping cleaners",37-2011,2324,2604,280,12.1,3.6,717.3,"$22,320",Less than high school,None,Short-term on-the-job training
Maids and housekeeping cleaners,37-2012,1434.6,1618,183.4,12.8,12.4,467.7,"$19,570",Less than high school,None,Short-term on-the-job training
"Building cleaning workers, all other",37-2019,14.4,16.6,2.2,15,4.4,4.9,"$27,570",Less than high school,None,Short-term on-the-job training
Pest control workers,37-2021,65.4,78.2,12.8,19.7,5.6,30.6,"$30,060",High school diploma or equivalent,None,Moderate-term on-the-job training
Grounds maintenance workers,37-3000,1227.1,1381.3,154.2,12.6,22.5,463.6,"$23,970",— ,— ,— 
Landscaping and groundskeeping workers,37-3011,1124.9,1264,139.2,12.4,22.5,422.7,"$23,570",Less than high school,None,Short-term on-the-job training
"Pesticide handlers, sprayers, and applicators, vegetation",37-3012,29.6,33,3.3,11.2,23.6,10.8,"$30,270",High school diploma or equivalent,None,Moderate-term on-the-job training
Tree trimmers and pruners,37-3013,53.2,63,9.8,18.5,24.1,23.2,"$32,310",High school diploma or equivalent,None,Short-term on-the-job training
"Grounds maintenance workers, all other",37-3019,19.3,21.3,1.9,10,15.8,6.8,"$26,760",Less than high school,None,Short-term on-the-job training
Personal care and service occupations,39-0000,5375.6,6498.5,1122.9,20.9,19.3,2289.4,"$20,840",— ,— ,— 
Supervisors of personal care and service workers,39-1000,300.7,332.5,31.7,10.6,40.3,88,"$36,640",— ,— ,— 
First-line supervisors of gaming workers,39-1010,49.2,53,3.8,7.6,33.5,13.8,"$45,370",— ,— ,— 
Gaming supervisors,39-1011,38.5,41.6,3.1,8.2,35.3,11,"$49,290",High school diploma or equivalent,Less than 5 years,None
Slot supervisors,39-1012,10.7,11.4,0.6,5.8,27,2.8,"$32,390",High school diploma or equivalent,Less than 5 years,None
First-line supervisors of personal service workers,39-1021,251.5,279.5,28,11.1,41.6,74.3,"$35,150",High school diploma or equivalent,Less than 5 years,None
Animal care and service workers,39-2000,232.1,267.5,35.4,15.2,24.8,76.6,"$19,970",— ,— ,— 
Animal trainers,39-2011,41.6,47.7,6.1,14.8,62.5,24.5,"$25,270",High school diploma or equivalent,None,Moderate-term on-the-job training
Nonfarm animal caretakers,39-2021,190.6,219.8,29.2,15.3,16.6,52.1,"$19,690",Less than high school,None,Short-term on-the-job training
Entertainment attendants and related workers,39-3000,548.8,596.1,47.3,8.6,0.8,284.4,"$18,850",— ,— ,— 
Gaming services workers,39-3010,128.2,141.9,13.8,10.8,1.4,35.9,"$18,910",— ,— ,— 
Gaming dealers,39-3011,100.3,111.7,11.4,11.4,1.4,28.7,"$18,630",High school diploma or equivalent,None,Short-term on-the-job training
Gaming and sports book writers and runners,39-3012,14.7,15.8,1.1,7.8,1.5,3.7,"$21,810",High school diploma or equivalent,None,Short-term on-the-job training
"Gaming service workers, all other",39-3019,13.2,14.4,1.2,9.4,1.2,3.5,"$23,490",High school diploma or equivalent,None,Short-term on-the-job training
Motion picture projectionists,39-3021,8,5.8,-2.1,-26.5,— ,3.1,"$19,830",Less than high school,None,Short-term on-the-job training
"Ushers, lobby attendants, and ticket takers",39-3031,108.8,110.6,1.9,1.7,0.7,59.3,"$18,730",Less than high school,None,Short-term on-the-job training
Miscellaneous entertainment attendants and related workers,39-3090,303.9,337.7,33.8,11.1,0.7,186.1,"$18,840",— ,— ,— 
Amusement and recreation attendants,39-3091,267.1,297.5,30.3,11.3,0.6,164.2,"$18,710",Less than high school,None,Short-term on-the-job training
Costume attendants,39-3092,5.6,6,0.4,6.6,— ,3.2,"$36,760",High school diploma or equivalent,None,Short-term on-the-job training
"Locker room, coatroom, and dressing room attendants",39-3093,19.6,21.6,2,10.4,0.8,11.9,"$19,160",High school diploma or equivalent,None,Short-term on-the-job training
"Entertainment attendants and related workers, all other",39-3099,11.5,12.6,1.1,9.2,0.7,6.8,"$25,140",High school diploma or equivalent,None,Short-term on-the-job training
Funeral service workers,39-4000,61,63.5,2.5,4.2,1.5,16.3,"$29,620",— ,— ,— 
Embalmers,39-4011,5.1,4.4,-0.8,-15,1.5,1.1,"$42,240",Postsecondary non-degree award,None,Short-term on-the-job training
Funeral attendants,39-4021,32.4,32.9,0.5,1.4,1.5,7.4,"$22,610",High school diploma or equivalent,None,Short-term on-the-job training
"Morticians, undertakers, and funeral directors",39-4031,23.5,26.3,2.8,12.1,1.5,7.9,"$46,840",Associate's degree,None,Long-term on-the-job training
Personal appearance workers,39-5000,816.1,930.5,114.3,14,41,283.9,"$22,190",— ,— ,— 
"Barbers, hairdressers, hairstylists and cosmetologists",39-5010,663.3,746.6,83.3,12.6,44.3,240,"$22,770",— ,— ,— 
Barbers,39-5011,52.1,57.9,5.8,11.1,75.7,19.3,"$25,090",Postsecondary non-degree award,None,None
"Hairdressers, hairstylists, and cosmetologists",39-5012,611.2,688.7,77.6,12.7,41.6,220.6,"$22,700",Postsecondary non-degree award,None,None
Miscellaneous personal appearance workers,39-5090,152.9,183.9,31,20.3,26.8,43.9,"$20,060",— ,— ,— 
"Makeup artists, theatrical and performance",39-5091,2.7,2.8,0.1,3.1,27,0.3,"$64,450",Postsecondary non-degree award,None,None
Manicurists and pedicurists,39-5092,86.9,100.4,13.5,15.6,26.8,20.7,"$19,220",Postsecondary non-degree award,None,None
Shampooers,39-5093,18.9,18.6,-0.3,-1.5,26.8,1.6,"$18,310",Less than high school,None,Short-term on-the-job training
Skincare specialists,39-5094,44.4,62,17.7,39.8,26.7,21.3,"$28,640",Postsecondary non-degree award,None,None
"Baggage porters, bellhops, and concierges",39-6000,67.3,78.4,11.1,16.5,— ,27.8,"$22,880",— ,— ,— 
Baggage porters and bellhops,39-6011,41,46,5,12.1,— ,15.1,"$20,050",High school diploma or equivalent,None,Short-term on-the-job training
Concierges,39-6012,26.3,32.4,6.1,23.4,— ,12.7,"$27,250",High school diploma or equivalent,None,Moderate-term on-the-job training
Tour and travel guides,39-7000,47.1,50.8,3.6,7.7,17.7,26.3,"$24,430",— ,— ,— 
Tour guides and escorts,39-7011,41.4,44.8,3.4,8.3,17.5,23.4,"$23,940",High school diploma or equivalent,None,Moderate-term on-the-job training
Travel guides,39-7012,5.7,5.9,0.2,3.6,18.9,3,"$30,780",High school diploma or equivalent,None,Moderate-term on-the-job training
Other personal care and service workers,39-9000,3302.5,4179.3,876.8,26.5,15.5,1485.9,"$20,630",— ,— ,— 
Childcare workers,39-9011,1312.7,1496.8,184.1,14,28.5,570,"$19,510",High school diploma or equivalent,None,Short-term on-the-job training
Personal care aides,39-9021,1190.6,1771.4,580.8,48.8,5.9,666,"$19,910",Less than high school,None,Short-term on-the-job training
Recreation and fitness workers,39-9030,612.4,694.9,82.5,13.5,7.3,154.7,"$24,360",— ,— ,— 
Fitness trainers and aerobics instructors,39-9031,267,300.5,33.5,12.5,9.3,65,"$31,720",High school diploma or equivalent,None,Short-term on-the-job training
Recreation workers,39-9032,345.4,394.4,49,14.2,5.8,89.7,"$22,240",Bachelor's degree,None,None
Residential advisors,39-9041,89.7,108.2,18.5,20.7,— ,57.3,"$24,520",High school diploma or equivalent,None,Short-term on-the-job training
"Personal care and service workers, all other",39-9099,97.1,108,10.8,11.1,22.5,37.9,"$20,600",High school diploma or equivalent,None,Short-term on-the-job training
Sales and related occupations,41-0000,15105,16200.5,1095.5,7.3,8.2,5626.9,"$25,120",— ,— ,— 
Supervisors of sales workers,41-1000,1997.7,2065.4,67.7,3.4,26.9,470.1,"$39,350",— ,— ,— 
First-line supervisors of retail sales workers,41-1011,1603.3,1674.2,70.9,4.4,24.4,419.8,"$36,820",High school diploma or equivalent,Less than 5 years,None
First-line supervisors of non-retail sales workers,41-1012,394.4,391.2,-3.2,-0.8,37.4,50.3,"$70,060",High school diploma or equivalent,Less than 5 years,None
Retail sales workers,41-2000,8467.3,9050.6,583.3,6.9,2,3725.4,"$19,890",— ,— ,— 
Cashiers,41-2010,3361.1,3447.7,86.5,2.6,0.8,1539.6,"$18,990",— ,— ,— 
Cashiers,41-2011,3338.9,3425.4,86.5,2.6,0.8,1530,"$18,970",Less than high school,None,Short-term on-the-job training
Gaming change persons and booth cashiers,41-2012,22.3,22.3,0,0.1,0.6,9.7,"$24,690",High school diploma or equivalent,None,Short-term on-the-job training
Counter and rental clerks and parts salespersons,41-2020,659.1,721.2,62.1,9.4,0.6,230.1,"$25,050",— ,— ,— 
Counter and rental clerks,41-2021,437.8,484.4,46.6,10.6,0.7,158.5,"$23,130",Less than high school,None,Short-term on-the-job training
Parts salespersons,41-2022,221.3,236.8,15.5,7,0.5,71.6,"$29,550",Less than high school,None,Moderate-term on-the-job training
Retail salespersons,41-2031,4447,4881.7,434.7,9.8,3.2,1955.7,"$21,110",Less than high school,None,Short-term on-the-job training
"Sales representatives, services",41-3000,1727.7,1913.8,186,10.8,8.5,633.4,"$51,080",— ,— ,— 
Advertising sales agents,41-3011,154.6,153.6,-1,-0.7,6,47.5,"$46,290",High school diploma or equivalent,None,Moderate-term on-the-job training
Insurance sales agents,41-3021,443.4,489.3,45.9,10.4,19,150.2,"$48,150",High school diploma or equivalent,None,Moderate-term on-the-job training
"Securities, commodities, and financial services sales agents",41-3031,354.6,394.3,39.7,11.2,6.4,122.6,"$71,720",Bachelor's degree,None,Moderate-term on-the-job training
Travel agents,41-3041,73.3,64.4,-8.9,-12.1,12,11.1,"$34,600",High school diploma or equivalent,None,Moderate-term on-the-job training
"Sales representatives, services, all other",41-3099,701.9,812.2,110.3,15.7,3.1,302,"$50,850",High school diploma or equivalent,None,Short-term on-the-job training
"Sales representatives, wholesale and manufacturing",41-4000,1863,2032.3,169.3,9.1,3.2,532.4,"$57,870",— ,— ,— 
"Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,382.3,419.5,37.2,9.7,3.2,111.8,"$74,970",Bachelor's degree,None,Moderate-term on-the-job training
"Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,1480.7,1612.8,132,8.9,3.2,420.7,"$54,230",High school diploma or equivalent,None,Moderate-term on-the-job training
Other sales and related workers,41-9000,1049.3,1138.4,89.2,8.5,30.2,265.6,"$28,600",— ,— ,— 
"Models, demonstrators, and product promoters",41-9010,82.9,96.2,13.3,16.1,5.6,36.7,"$23,700",— ,— ,— 
Demonstrators and product promoters,41-9011,78.1,90.7,12.6,16.1,5.6,34.6,"$23,860",High school diploma or equivalent,None,Short-term on-the-job training
Models,41-9012,4.8,5.5,0.7,15.3,4.8,2.1,"$18,750",Less than high school,None,None
Real estate brokers and sales agents,41-9020,422,468.6,46.6,11,51.6,86.3,"$41,990",— ,— ,— 
Real estate brokers,41-9021,79.6,88.3,8.6,10.8,52,16.1,"$58,350",High school diploma or equivalent,Less than 5 years,None
Real estate sales agents,41-9022,342.4,380.3,38,11.1,51.5,70.2,"$39,140",High school diploma or equivalent,None,Long-term on-the-job training
Sales engineers,41-9031,66,71.8,5.9,8.9,— ,17.4,"$91,830",Bachelor's degree,None,Moderate-term on-the-job training
Telemarketers,41-9041,250.1,269.3,19.2,7.7,0.9,70.9,"$22,330",Less than high school,None,Short-term on-the-job training
Miscellaneous sales and related workers,41-9090,228.4,232.5,4.2,1.8,40.4,54.3,"$25,400",— ,— ,— 
"Door-to-door sales workers, news and street vendors, and related workers",41-9091,92.7,78.5,-14.2,-15.3,91.9,9.3,"$21,470",High school diploma or equivalent,None,Short-term on-the-job training
"Sales and related workers, all other",41-9099,135.7,154.1,18.4,13.5,5.2,45,"$25,800",High school diploma or equivalent,None,None
Office and administrative support occupations,43-0000,22470.1,24004.1,1534,6.8,1.1,6765.1,"$31,510",— ,— ,— 
Supervisors of office and administrative support workers,43-1000,1418.1,1589.6,171.5,12.1,0.5,508,"$49,330",— ,— ,— 
First-line supervisors of office and administrative support workers,43-1011,1418.1,1589.6,171.5,12.1,0.5,508,"$49,330",High school diploma or equivalent,Less than 5 years,None
Communications equipment operators,43-2000,145.1,126.4,-18.7,-12.9,1,27.9,"$25,930",— ,— ,— 
"Switchboard operators, including answering service",43-2011,131,113.7,-17.3,-13.2,0.9,24.1,"$25,370",High school diploma or equivalent,None,Short-term on-the-job training
Telephone operators,43-2021,11.1,9.6,-1.4,-13.1,2.4,2.9,"$32,850",High school diploma or equivalent,None,Short-term on-the-job training
"Communications equipment operators, all other",43-2099,3,3.2,0.1,4.6,— ,0.9,"$40,250",High school diploma or equivalent,None,Short-term on-the-job training
Financial clerks,43-3000,3567.2,3958.6,391.4,11,3,1097.9,"$32,680",— ,— ,— 
Bill and account collectors,43-3011,397.4,455.6,58.2,14.7,1.7,170,"$32,480",High school diploma or equivalent,None,Moderate-term on-the-job training
Billing and posting clerks,43-3021,513.8,607,93.2,18.1,2.4,187.8,"$33,450",High school diploma or equivalent,None,Short-term on-the-job training
"Bookkeeping, accounting, and auditing clerks",43-3031,1799.8,2004.5,204.6,11.4,4.7,370,"$35,170",High school diploma or equivalent,None,Moderate-term on-the-job training
Gaming cage workers,43-3041,18.4,19.8,1.3,7.3,— ,4.9,"$24,610",High school diploma or equivalent,None,Short-term on-the-job training
Payroll and timekeeping clerks,43-3051,179.5,202,22.5,12.5,1.5,61.9,"$37,690",High school diploma or equivalent,None,Moderate-term on-the-job training
Procurement clerks,43-3061,72.2,73.6,1.4,2,— ,27.6,"$38,220",High school diploma or equivalent,None,Moderate-term on-the-job training
Tellers,43-3071,545.3,551,5.6,1,0.1,259.8,"$24,940",High school diploma or equivalent,None,Short-term on-the-job training
"Financial clerks, all other",43-3099,40.7,45.2,4.4,10.9,1.7,15.9,"$36,850",High school diploma or equivalent,None,Short-term on-the-job training
Information and record clerks,43-4000,5412.6,5911.3,498.7,9.2,0.6,1951.9,"$29,710",— ,— ,— 
Brokerage clerks,43-4011,61.9,64.3,2.4,3.8,— ,18.4,"$42,440",High school diploma or equivalent,None,Moderate-term on-the-job training
Correspondence clerks,43-4021,11.1,11.5,0.5,4.2,— ,3.3,"$36,140",High school diploma or equivalent,None,Short-term on-the-job training
"Court, municipal, and license clerks",43-4031,130,143.8,13.8,10.6,2.5,33.8,"$34,830",High school diploma or equivalent,None,Moderate-term on-the-job training
"Credit authorizers, checkers, and clerks",43-4041,52.2,50.5,-1.7,-3.2,0.4,6.1,"$33,600",High school diploma or equivalent,None,Short-term on-the-job training
Customer service representatives,43-4051,2362.8,2661.4,298.7,12.6,0.5,941.6,"$30,580",High school diploma or equivalent,None,Short-term on-the-job training
"Eligibility interviewers, government programs",43-4061,138.1,152,13.9,10.1,1.1,41.6,"$40,530",High school diploma or equivalent,None,Moderate-term on-the-job training
File clerks,43-4071,164.2,158.8,-5.3,-3.3,0.7,37.5,"$26,190",High school diploma or equivalent,None,Short-term on-the-job training
"Hotel, motel, and resort desk clerks",43-4081,231.6,263.4,31.8,13.7,— ,141.5,"$20,340",High school diploma or equivalent,None,Short-term on-the-job training
"Interviewers, except eligibility and loan",43-4111,204.5,225.8,21.3,10.4,0.5,59.9,"$29,910",High school diploma or equivalent,None,Short-term on-the-job training
"Library assistants, clerical",43-4121,110.4,126.6,16.3,14.7,0.2,64.4,"$23,440",High school diploma or equivalent,None,Short-term on-the-job training
Loan interviewers and clerks,43-4131,195.9,213,17.1,8.7,0.7,30.1,"$35,310",High school diploma or equivalent,None,Short-term on-the-job training
New accounts clerks,43-4141,55.7,53,-2.7,-4.9,— ,14.4,"$31,720",High school diploma or equivalent,None,Moderate-term on-the-job training
Order clerks,43-4151,212.7,207.4,-5.3,-2.5,1.3,56,"$29,480",High school diploma or equivalent,None,Short-term on-the-job training
"Human resources assistants, except payroll and timekeeping",43-4161,146.9,145.3,-1.6,-1.1,0.4,37.1,"$37,510",High school diploma or equivalent,None,Short-term on-the-job training
